,Date,nps,Comment
0,3/1/23 4:57,8,No me dio la opción de pago a meses sin intereses
1,3/1/23 4:55,6,"muy tardado, no me llega la confirmación vía correo"
2,3/1/23 4:54,8,"Que los precios no sean tan caros, eso atraeria mas clientes mas que presentacion del avion, de la pagina web, la comodidad del Aeropuerto etc. etc."
3,3/1/23 4:51,2,"Me estas mandando el NPS cuando todavía ni siquiera termino la compra, pesima experiencia de encuestas."
4,3/1/23 4:48,0,no pude pagar
5,3/1/23 4:47,5,cambian los precios casi por pagar
6,3/1/23 4:43,8,Sean claros en costos y bajar los costos de la asignación de asientos
7,3/1/23 4:42,0,Esta horrible su pagina y esta muy revuelta
8,3/1/23 4:41,6,BAJEN PRECIOS
9,3/1/23 4:39,8,es confusa
10,3/1/23 4:34,6,kkkkkk
11,3/1/23 4:33,0,deberian hacerla mas amigable
12,3/1/23 4:28,8,permitir selección de asientos sin cargo
14,3/1/23 4:23,6,costos elevados
15,3/1/23 4:21,6,bajar los precios.  hay veses que es emergencia y los precios son elevados. y tenemos que pagar hasta por los asientos.
16,3/1/23 4:20,8,GOOD SERVICE
17,3/1/23 4:18,8,no elevar tanto los precios
18,3/1/23 4:16,8,si esta bien
19,3/1/23 4:11,7,Que coloquen el total del costo del boleto ya que al momento de cotizar te sale una cantidad y al momento de pagar aumenta.
20,3/1/23 4:10,7,"Reducir la visibilidad de extras y NO obligar a aceptar un cargo no solicitado (reembolso total), en el paso final."
21,3/1/23 3:52,1,"No puedo canjear mis puntos doters, en la página de Doters me aparece que tengo 69,000 pero cuando entro a mi cuenta doters-vivaaerobus me aparecen cero puntos."
22,3/1/23 3:44,7,"Que desde un principio te muestre todos los costos, asientos, seguros, etc"
23,3/1/23 3:39,5,No pongan tantas trampas para hacer cargos extras que no son realmente necesarios.
24,3/1/23 3:38,8,la publicidad me confunde un poco
25,3/1/23 3:36,5,"MUCHIOS GASTOS OCULTOS, ENGAÑOSOS"
26,3/1/23 3:36,0,dar a concer el pago desl impuesto desde la compra
27,3/1/23 3:34,8,NO PRECARGANDO CARGOS ADICIONALES DE SEGUROS Y EXTRAS
