Date,nps,text
3/1/23 4:57,8,No me dio la opción de pago a meses sin intereses
3/1/23 4:55,6,"muy tardado, no me llega la confirmación vía correo"
3/1/23 4:54,8,"Que los precios no sean tan caros, eso atraeria mas clientes mas que presentacion del avion, de la pagina web, la comodidad del Aeropuerto etc. etc."
3/1/23 4:51,2,"Me estas mandando el NPS cuando todavía ni siquiera termino la compra, pesima experiencia de encuestas."
3/1/23 4:48,0,no pude pagar
3/1/23 4:47,5,cambian los precios casi por pagar
3/1/23 4:43,8,Sean claros en costos y bajar los costos de la asignación de asientos
3/1/23 4:42,0,Esta horrible su pagina y esta muy revuelta
3/1/23 4:41,6,BAJEN PRECIOS
3/1/23 4:39,8,es confusa
3/1/23 4:34,6,kkkkkk
3/1/23 4:33,0,deberian hacerla mas amigable
3/1/23 4:28,8,permitir selección de asientos sin cargo
3/1/23 4:23,8,x
3/1/23 4:23,6,costos elevados
3/1/23 4:21,6,bajar los precios.  hay veses que es emergencia y los precios son elevados. y tenemos que pagar hasta por los asientos.
3/1/23 4:20,8,GOOD SERVICE
3/1/23 4:18,8,no elevar tanto los precios
3/1/23 4:16,8,si esta bien
3/1/23 4:11,7,Que coloquen el total del costo del boleto ya que al momento de cotizar te sale una cantidad y al momento de pagar aumenta.
3/1/23 4:10,7,"Reducir la visibilidad de extras y NO obligar a aceptar un cargo no solicitado (reembolso total), en el paso final."
3/1/23 3:52,1,"No puedo canjear mis puntos doters, en la página de Doters me aparece que tengo 69,000 pero cuando entro a mi cuenta doters-vivaaerobus me aparecen cero puntos."
3/1/23 3:44,7,"Que desde un principio te muestre todos los costos, asientos, seguros, etc"
3/1/23 3:39,5,No pongan tantas trampas para hacer cargos extras que no son realmente necesarios.
3/1/23 3:38,8,la publicidad me confunde un poco
3/1/23 3:36,5,"MUCHIOS GASTOS OCULTOS, ENGAÑOSOS"
3/1/23 3:36,0,dar a concer el pago desl impuesto desde la compra
3/1/23 3:34,8,NO PRECARGANDO CARGOS ADICIONALES DE SEGUROS Y EXTRAS
3/1/23 3:30,7,"Que aparezca el calendario con los precios, desde un inicio. Poder declinar los Adicionales."
3/1/23 3:30,7,"La página se vuelve un poco confusa, en caso de que alguna persona mayor quisiera utilizarla sería complicado para ella"
3/1/23 3:28,8,buena
3/1/23 3:26,7,"Me molesta en gran manera que traten de venderme absolutamente todo!!...desde el cobro de equipaje, selección de asientos, seguro de reserva...TODO!!! Es realmente molesto!!"
3/1/23 3:14,5,muy tardado
3/1/23 3:10,7,No cobrar todo por aparte
3/1/23 3:05,5,hice reservaciones para 2 personas y solo necesitaba en un pasajero una maleta de 15 kilos. Pero el sistema no me dejaba agregar 1 maleta para un solo pasajero. Me la agrego para los dos pasajeros.
3/1/23 3:04,5,"Al ser rechazada mi forma de pago, me vi forzada a buscar el mismo vuelo desde una página incógnito, en la cual le subieron $75 mxn al costo del vuelo. Pésimo eso."
3/1/23 2:53,7,"Intente pagar 4 reservaciones, al momento de pagar no me permitia realizar el pago, marcaba un error en los montos, ""los montos no coinciden""."
3/1/23 2:51,8,"Los precios aparentemente son muy económicos, pero al finalziar la reserva suben mucho."
3/1/23 2:50,8,Me perdió la selección de vuelos cuando cree la nueva cuenta
3/1/23 2:46,8,na
3/1/23 2:41,5,vuelos multidestino
3/1/23 2:37,8,las tarifas son engañosas ya que hay muchos servicios innecesarios
3/1/23 2:37,0,"NO PUDE REALIZAR EL PAGO DE MIS TIQUETES, PONIA EL CODIGO DE TRES DIGITOS DE MI TARJETA Y LO BORRABA."
3/1/23 2:36,7,en poner el verdadero precio en la selección de asientos; no que +$22 se convierte en +$230 cuando lo seleccionas.
3/1/23 2:31,7,Tratan de inserterte muchos gastos extras
3/1/23 2:24,8,Podría ser menos complicado la reservación
3/1/23 2:23,7,No pude pagar en la aplicacion
3/1/23 2:20,4,Dejen de ofrecer servicios insolicitados
3/1/23 2:19,5,"hay cosas que no son tan visibles, omitir pasos que no son tan necesarios"
3/1/23 2:14,4,hidden fee
3/1/23 2:12,5,SIN HACER CARGOS ADICIONALES QUE YO NO ESCOGI.....COMO EL DEL REEMBOLS
3/1/23 2:06,8,servicio al abordaje
3/1/23 2:06,7,Esperé demasiado a cargar la página y tuve que cambiar método de pago
3/1/23 1:54,7,SI
3/1/23 1:54,8,No agreguen Total reembolso automaticamente.  Dejenme seleccionarlo como todo lo demás.
3/1/23 1:51,8,La pagina y aplicacion por telefono no me dejaban pagar
3/1/23 1:42,5,demoran sus vuelos mucho de resto todo bien
3/1/23 1:39,8,no respeta coompras anteriores y va subiendo de precio cada consulta
3/1/23 1:30,8,HACER UNA PAGUINA CON MENOS OPCIONES
3/1/23 1:28,7,NO SE
3/1/23 1:27,7,Incrementar opciones en cada area
3/1/23 1:22,7,la claridad de la info de pago
3/1/23 1:20,7,dar mejor atención a clientes frecuentes ya que la atención no es la mejor para los vuelos
3/1/23 1:08,7,"Quitar tantos botones de pagos adicionales y no confundir al cliente.¨Favor de indicar que cuando es Tarifa Zero el checkin es al mismo dia, casi una hora antes de abordar."
3/1/23 1:05,8,...
3/1/23 1:04,7,ME SACO CUANDO YA ESTABA A PUNTO DE PAGAR
3/1/23 0:59,5,Esta es la  segunda vez que que tengo que recurrir a pagar en el Oxxo por que no acepta mi tarjeta de debito.
3/1/23 0:55,0,una pesima experiencia.
3/1/23 0:51,8,"Si,  haciendo paquetes de vuelo, que incluya lo esencial"
3/1/23 0:45,7,hacerla mas amigable
3/1/23 0:42,4,NO SUBIENDO PRCIOS DE MOMENTO
3/1/23 0:28,2,el formato no es logico y ademas te orilla a que compres mas productos
3/1/23 0:26,5,NO DA PRECIO FINAL CAMBIA A CADA RATO
3/1/23 0:22,0,No me dejo realizar el pago
3/1/23 0:13,0,solo me dejaban pagar si ponia el seguro del vuelo
3/1/23 0:06,8,PIDEN MUCHOS PASOS Y SE VA INCREMENTANDO EL PRECIO MUCHO EN COMPARACION CON LO QUE OFRECEN DE UN INICIO
