Date,nps,Comment
4/17/23 20:23,9,PRECIO
4/17/23 20:21,9,ES LA PRIMERA VEZ Y SI ME SIENTO CON ALGO DE INSERTIDUMBRE SI LO ESTOY HACIUENDO BIEN
4/17/23 20:17,9,Es muy rapido
4/17/23 20:17,10,Bueno
4/17/23 20:10,9,Prcticidad
4/17/23 20:07,10,Es muy fácil de manejar la página web y la app
4/17/23 19:50,10,Por la facilidad de la navegación
4/17/23 19:49,10,MUY RAPIDO PARA HACER CHECK IN
4/17/23 19:47,10,.
4/17/23 19:45,10,TODO ES EXCELENTE
4/17/23 19:42,10,FUE SENCILLO
4/17/23 19:40,9,"facilidad de compra en linea, vuelos en tiempo"
4/17/23 19:39,10,MUY FACIL DE USAR
4/17/23 19:37,10,muy rapido
4/17/23 19:35,10,Excelente
4/17/23 19:35,9,PARA VOLAR SIN CONTRATIEMPOS
4/17/23 19:29,10,RAPIDEZ
4/17/23 19:29,10,.
4/17/23 19:28,10,por el buen servicio
4/17/23 19:26,10,facil y practico
4/17/23 19:23,10,.
4/17/23 19:22,10,ES MUY SENCILLO
4/17/23 19:17,9,Útil
4/17/23 19:16,9,MUY FACIL DE USAR
4/17/23 19:13,10,todo muy practico
4/17/23 19:12,10,si
4/17/23 19:10,10,POR QUE CONOZCAN LA AEROLINEA
4/17/23 19:02,10,PORQUE ME GUSTA SU SERVICIO
4/17/23 18:56,10,Por sencillez y rapidez
4/17/23 18:49,10,:D
4/17/23 18:40,10,es muy facil
4/17/23 18:34,10,ágil
4/17/23 18:32,10,rapidos
4/17/23 18:31,10,POR LA RAPIDEZ
4/17/23 18:29,10,super facil
4/17/23 18:21,9,ES MUY FACIL
4/17/23 18:19,10,si
4/17/23 18:15,10,rapida y eficiente la página
4/17/23 18:04,10,Muy eficiente
4/17/23 18:03,10,Es muy fácil y rápido.
4/17/23 18:02,10,excelente
4/17/23 17:54,10,"Es muy sencillo y rápido todo, gracias"
4/17/23 17:52,10,Facil de usar
4/17/23 17:45,10,conveniente y rapido
4/17/23 17:43,10,por la facilidad
4/17/23 17:39,10,servicio en webb
4/17/23 17:38,10,POR LA FACILIDAD DEL TRAMITE
4/17/23 17:29,10,Amigable
4/17/23 17:26,9,"FACILIDAD AL HACERLO, ME EVITO TRAMITES EN EL AEROPUERTO"
4/17/23 17:26,10,La flexibilidad.
4/17/23 17:25,10,buen servicio
4/17/23 17:17,10,ES CON LOS QUE YO VUELO
4/17/23 17:16,10,todo excelente
4/17/23 17:13,10,Facil acceso
4/17/23 17:11,10,Sencillez
4/17/23 17:08,9,EL SERVICIO ES RÁPIDO
4/17/23 16:57,10,MUY FACIL
4/17/23 16:56,9,RAPIDEZ Y PRACTICIDAD
4/17/23 16:53,10,por la rapidez
4/17/23 16:48,9,muy buen servicio
4/17/23 16:45,10,Buena y fácil de usar
4/17/23 16:40,10,Muy facil
4/17/23 16:39,10,Todo el proceso fue rápido y sencillo.
4/17/23 16:38,9,POR SU RAPIDEZ
4/17/23 16:35,10,TODO MUY BIEN
4/17/23 16:27,10,excellent servicio
4/17/23 16:26,10,La página web es muy práctica
4/17/23 16:22,9,muy birn
4/17/23 16:16,10,claro
4/17/23 16:16,10,AGIL Y FACIL PROCESO
4/17/23 16:15,10,"Es fácil, rápido y muy claro."
4/17/23 16:13,10,Es rápido y fácil
4/17/23 16:13,10,facil
4/17/23 16:12,9,es facil
4/17/23 16:12,10,fasilidad
4/17/23 16:08,10,es muy agil el tramite
4/17/23 16:08,10,Facilidad de uso
4/17/23 16:01,9,na
4/17/23 15:56,10,FACIL DE USAR
4/17/23 15:51,9,excelente servicio
4/17/23 15:50,10,por lo sencillo y el tiempo de ahorro en el aeropuerto
4/17/23 15:45,10,gracias
4/17/23 15:42,10,POR LOS SERVICIOS
4/17/23 15:39,10,muy agil
4/17/23 15:35,10,buen servicio
4/17/23 15:32,10,Facil de utilizar
4/17/23 15:23,10,Muy fácil y muy rápido
4/17/23 15:23,9,Facilidad
4/17/23 15:22,10,por disminución de tiempo por las largas filas que se hacen.
4/17/23 15:12,10,"Hasta ahora, la pagina ha sido amigable y facil de entender"
4/17/23 15:10,9,b
4/17/23 14:54,10,sencillo y claro
4/17/23 14:50,10,MUY FACIL
4/17/23 14:03,10,bu en servicio
4/17/23 13:28,10,Muy sencillo
4/17/23 13:19,10,HASTA AHORA TODO ME HA SALIDO BIEN
4/17/23 13:02,10,Muy facil y rapido
4/17/23 12:19,10,Fácil de usar
4/17/23 11:24,10,BUEN SERVICIO Y BUEN PRECIO
4/17/23 8:07,9,rapidez
4/17/23 7:08,10,Es fácil y práctico
