Button name,Rating,,Comment,,,,,,,,,,,,,,,Page Load Time,Form,ID,Comments Added in Feedback Item,Image,feedback_type,¿Qué te gustaría compartir con nosotros?,basket_id,motivo_visita,share_data,error_type,NULL_feedback_type,name,pnr,contact_number,NULL_pnr,¿Sobre qué te gustaría leer en el blog? - What would you like to read?,would_like_to_read,other_topics_comment,experiment,NULL_contact_number,NULL_other_topics_comment,NULL_name
Doters,1,Porque me inscribí y aparece un no ver qué no puse??,4/13/23 15:38,,,,,,,,,,,,,,,4s,,6438684c4e609416265a00d2,,,general,,,,,,,,,,,,,,,,,
Desktop New Site,2,Como hacer una reservación ???,4/13/23 15:34,,,,,,,,,,,,,,,1s,,6438674f4bc597141e1fa44b,,https://u4w-screenshots-production.s3.amazonaws.com/6438674f4bc597141e1fa44b/screenshot,general,Comentario general,undefined,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,2,"se quedo en ""cargando"" información del pasajero",4/13/23 15:21,,,,,,,,,,,,,,,4s,,64386424b082ae6311679d33,,https://u4w-screenshots-production.s3.amazonaws.com/64386424b082ae6311679d33/screenshot,error,Errores o problemas en la página,undefined,book_flight,no,website_not_loading,,,,,,,,,,,,
Desktop New Site,1,NO ME PERMITE FACTURAR,4/13/23 14:47,,,,,,,,,,,,,,,0s,,64385c5418565b593924bc97,,https://u4w-screenshots-production.s3.amazonaws.com/64385c5418565b593924bc97/screenshot,error,Errores o problemas en la página,undefined,search_info,si,invoice,,,,,,,,,,,,
Desktop New Site,4,mauro,4/13/23 14:42,,,,,,,,,,,,,,,3s,,64385afc146d2374dd64b00e,,https://u4w-screenshots-production.s3.amazonaws.com/64385afc146d2374dd64b00e/screenshot,compliment,Felicitación,undefined,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,"He solicitado factura de un vuelo anterior que debo ya presentar en finanzas y no me ha sido posible ni conseguir hablar con ustedes, la solicité vía correo y solo me enviaron una de 100 pesos cobro por un cambio que hice. y ahora de mi nuevo viaje la quiero solictar y llevo más de 20 minutos esperando en línea y no hay opción especifica en su menú para facturar.",4/13/23 14:04,,,,,,,,,,,,,,,2s,,643850f6fe76111afa7c6ebf,,,error,Errores o problemas en la página,01877be3-1c26-45b7-a321-a7b038106197,book_flight,si,invoice,,,,,,,,,,,,
Desktop New Site,5,"todo muy entendible en la pagina de reservación, muchas gracias. ",4/13/23 13:52,,,,,,,,,,,,,,,4s,,64384e5ca327737420287067,,,compliment,Felicitación,01877bb1-577f-41dc-9452-8f7359433368,book_flight,no,,,,,,,,,,,,,
Desktop New Site,1,"Cargan de manera automática sin explicar el Adicional ""Reembolso Total"" de $181.58 ¿Po qué?",4/13/23 13:07,,,,,,,,,,,,,,,1s,,643844e1a9396a270a58cd2e,,https://u4w-screenshots-production.s3.amazonaws.com/643844e1a9396a270a58cd2e/screenshot,error,Errores o problemas en la página,01877bc5-7ff4-4a92-b576-3858d10a4cd0,quote_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,"NO TE DESGLOZA TODOS LOS CARGOS CUANDO HACES CAMBIOS, AL FINAL TERMINAS PAGANDO EL DOBLE, PESIMO SERVICIO!!",4/13/23 13:06,,,,,,,,,,,,,,,2s,,64384492892f6e099b04b019,,https://u4w-screenshots-production.s3.amazonaws.com/64384492892f6e099b04b019/screenshot,error,Errores o problemas en la página,01877bbf-cfa0-4eac-abcf-eb29dd35decf,change_booking,si,payment_issues,,,,,,,,,,,,
Desktop New Site,1,"He intentado por más de 10 horas resolver una duda sobre una reservación de un vuelo que tengo con ustedes, que fue comprado en IBERIA y que el tramo guadalajara méxico es con viva aerobus.  Además del tiempo, no hay forma de que alguien atienda.  Esperé 50 minutos al teléfono y cuando contestaron colgaron Su chat no resuelve nada, incluso cuando uno quiere hablar con un asesor En su página de FB, en el messenger, tengo una respuesta pero no hay forma de que uno pueda entablar una conversación con alguien NO HAY FORMA DE HABLAR y todavía dicen que es un placer atendernos???",4/13/23 12:52,,,,,,,,,,,,,,,0s,,643841439b65150ed16bc993,,https://u4w-screenshots-production.s3.amazonaws.com/643841439b65150ed16bc993/screenshot,general,Comentario general,undefined,flight_status,yes,,,,,,,,,,,,,
Desktop New Site,2,NO HE PODIDO FACTURAR NINGUNO DE LOS BOLETOS DEL MES EN CURSO FAVOR DE SOLUCIONARLO,4/13/23 12:11,,,,,,,,,,,,,,,5s,,643837cae63bfc4df61b4329,,https://u4w-screenshots-production.s3.amazonaws.com/643837cae63bfc4df61b4329/screenshot,error,Errores o problemas en la página,undefined,search_info,si,invoice,,,,,,,,,,,,
Desktop New Site,1,"estoy en completo desacuerdo con que se me cobre de manera obligatoria el reembolso total, no lo solicite y no quiero pagarlo",4/13/23 12:02,,,,,,,,,,,,,,,0s,,6438357ddea4dd155f105a9f,,https://u4w-screenshots-production.s3.amazonaws.com/6438357ddea4dd155f105a9f/screenshot,general,Comentario general,01877b7f-e133-4b03-bcb5-772f19f95729,book_flight,no,,,,,,,,,,,,,
Desktop New Site,3,NO FUNCIONA LA PAGINA DE FACTURACION,4/13/23 11:53,,,,,,,,,,,,,,,0s,,6438337ccc1c031e973ca267,,https://u4w-screenshots-production.s3.amazonaws.com/6438337ccc1c031e973ca267/screenshot,suggestion,Sugerencias o ideas,undefined,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,3,"Aparece un adicional que se llama reembolso Total y no lo puedo quitar.  Necesito saber primero que es y, si no me interesa, poder retirarlo",4/13/23 11:36,,,,,,,,,,,,,,,0s,,64382f7369ac6e382459e170,,https://u4w-screenshots-production.s3.amazonaws.com/64382f7369ac6e382459e170/screenshot,error,Errores o problemas en la página,01877b6c-92b8-47f5-81db-f5c6cd3ad3b9,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,No puedo quitar este cargo adicional,4/13/23 10:10,,,,,,,,,,,,,,,0s,,64381b4bd9eb3936bf4b658c,,https://u4w-screenshots-production.s3.amazonaws.com/64381b4bd9eb3936bf4b658c/screenshot,general,Comentario general,01877b23-cfcc-46fb-bc6d-9fbcea4f6a34,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,2,"Aparece el cuadro de dialogo de la TUA, se le da click en agregar o en más tarde y no se quita.",4/13/23 3:53,,,,,,,,,,,,,,,1s,,6437c2fa7400913dc35846c7,,https://u4w-screenshots-production.s3.amazonaws.com/6437c2fa7400913dc35846c7/screenshot,error,Errores o problemas en la página,undefined,quote_flight,no,booking_issues,,,,,,,,,,,,
Desktop New Site,3,TENGO UNA INQUIETUD ,4/13/23 2:30,,,,,,,,,,,,,,,0s,,6437af27bf19df1e2d49e91a,,https://u4w-screenshots-production.s3.amazonaws.com/6437af27bf19df1e2d49e91a/screenshot,suggestion,Sugerencias o ideas,01877969-c959-47cd-a40c-d276f41311db,flight_status,yes,,,,,,,,,,,,,
Desktop New Site,2,NO ME PERMITE PAGAR... LO HE INTENTADO CON MIS TARJETA CREDITO Y DEBITO Y NO ME DEJA HACER LA COMPRA.. TAMPOCO ME PERMITE HACERLA CON OTRA FORMA DE PAGO,4/12/23 23:11,,,,,,,,,,,,,,,1s,,643780de0fd6d3344a49885a,,https://u4w-screenshots-production.s3.amazonaws.com/643780de0fd6d3344a49885a/screenshot,error,Errores o problemas en la página,018778bb-489a-40f7-bd0e-682295d9437e,book_flight,si,payment_issues,,,,,,,,,,,,
Doters,1,No carga la página y no deja envíar,4/12/23 22:11,,,,,,,,,,,,,,,2s,,643772f55dc98a5f76705d9b,,https://u4w-screenshots-production.s3.amazonaws.com/643772f55dc98a5f76705d9b/full_image,error,,,,,,,,,,,,,,,,,
Desktop New Site,2,no puedo ver importe total y final,4/12/23 22:07,,,,,,,,,,,,,,,0s,,643771ca70f31b0f731b7b7a,,https://u4w-screenshots-production.s3.amazonaws.com/643771ca70f31b0f731b7b7a/screenshot,general,Comentario general,undefined,quote_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,Su espacio en línea de facturación no ha estado disponible el día de hoy. ¿Cuándo podré facturar mis boletos?,4/12/23 21:04,,,,,,,,,,,,,,,0s,,64376333fecd5d6e5637be9e,,https://u4w-screenshots-production.s3.amazonaws.com/64376333fecd5d6e5637be9e/screenshot,error,Errores o problemas en la página,undefined,search_info,si,invoice,,,,,,,,,,,,
Desktop New Site,1,estoy llamando a la aerolinea y llevo mas de dos horas y no me contestan es en relacion de que viajan dos menores uno de 17 y otro de 12 años y cuales son los requisitos ,4/12/23 20:43,,,,,,,,,,,,,,,0s,,64375e2f3b194f41856feed1,,https://u4w-screenshots-production.s3.amazonaws.com/64375e2f3b194f41856feed1/screenshot,general,Comentario general,01877844-9d14-492b-940a-a0cb47d10193,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,"Son una basura de compañía obligando a tener adicionales, no lo necesito y no lo deseo y aun asi no me deja quitarlo su pagina y por ende debo pagarlo, que mierda de compañía son",4/12/23 20:20,,,,,,,,,,,,,,,0s,,643758bd0f0d7f399a33dfed,,https://u4w-screenshots-production.s3.amazonaws.com/643758bd0f0d7f399a33dfed/screenshot,general,Comentario general,01877828-ecc0-4675-861d-86e46b5dfbb4,book_flight,yes,,,,,,,,,,,,,
Doters,1,"Cambie la contraseña pero no me deja entrar, esta pesimo",4/12/23 20:18,,,,,,,,,,,,,,,0s,,64375870fecd5d6e5637be37,,,error,,,,,,,,,,,,,,,,,
Doters,5,1473470,4/12/23 20:15,,,,,,,,,,,,,,,2s,,643757a944844d1185161782,,,,,,,,, ,,,,,,,,,,,
Doters,5,1473470,4/12/23 20:14,,,,,,,,,,,,,,,2s,,643757807a2c921c791a7f9f,,,,,,,,, ,,,,,,,,,,,
Doters,5,1473470,4/12/23 20:04,,,,,,,,,,,,,,,2s,,643755316e03673ca70c0f64,,,,,,,,,,,,,,,,,,,,
Doters,5,63100909M500,4/12/23 19:30,,,,,,,,,,,,,,,3s,,64374d341f16802eec36ae64,,,,,,,,, ,,,,,,,,,,,
Doters,3,Un poco complejo ,4/12/23 18:46,,,,,,,,,,,,,,,5s,,643742ac41cd6d333c6580cd,,https://u4w-screenshots-production.s3.amazonaws.com/643742ac41cd6d333c6580cd/full_image,compliment,,,,,,,,,,,,,,,,,
Desktop New Site,4,me gustaria que las promociones que sacan MERIDA - GUADALAJARA  TAMBIEN LAS COMPARTAN CANCUN-GUADALAJARA no toda las personas tenemos la misma capacidad de pago aunque sea lugar turistico,4/12/23 18:22,,,,,,,,,,,,,,,3s,,64373d1f578719638821edd1,,https://u4w-screenshots-production.s3.amazonaws.com/64373d1f578719638821edd1/screenshot,general,Comentario general,undefined,search_info,yes,,,,,,,,,,,,,
Desktop New Site,1,me cobran automático el reembolso total y no lo quiero,4/12/23 18:11,,,,,,,,,,,,,,,2s,,64373a742c6b5b16f8373596,,https://u4w-screenshots-production.s3.amazonaws.com/64373a742c6b5b16f8373596/screenshot,error,Errores o problemas en la página,018777ae-2f12-475e-8436-367cfc3caf55,book_flight,si,payment_issues,,,,,,,,,,,,
Desktop New Site,1,ME CARGAN UN SEGURO DE CANCELACION POR 225 PESOS QUE NO SOLICITE,4/12/23 17:53,,,,,,,,,,,,,,,0s,,64373655c4fb823c9154843e,,https://u4w-screenshots-production.s3.amazonaws.com/64373655c4fb823c9154843e/screenshot,error,Errores o problemas en la página,undefined,book_flight,si,invoice,,,,,,,,,,,,
Desktop New Site,1,porque me meten a fuerza reembolso total no lo quiero,4/12/23 17:43,,,,,,,,,,,,,,,0s,,643733dafecd5d6e5637bd26,,https://u4w-screenshots-production.s3.amazonaws.com/643733dafecd5d6e5637bd26/screenshot,general,Comentario general,0187779f-c209-40da-9c49-7604c91a58a2,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,"ME HABIA ARROJADO UN TOTAL QUE YA DETALLABA EL TUA PERO AQUI EN ESTA PAGINA DE PAGOS NO ENTIENDO QUE ES ESA LINEA QUE DICE REEMBOLSO TOTAL POR 228.62, DEBERÍAN SER MÁS CLAROS, ES MUY DESHONESTO NO SERLO",4/12/23 17:40,,,,,,,,,,,,,,,5s,,64373357a423aa251666f455,,https://u4w-screenshots-production.s3.amazonaws.com/64373357a423aa251666f455/screenshot,general,Comentario general,0187778d-cdbe-4fda-af4e-b0b7459e372b,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,2,"Me hicieron un cobro de más y no me dan seguimiento. he enviado correo a atenciontelefonica@vivaaerobus.com y atencion.clientes@vivaaerobus.com y no me contestan, mi clave es ICLE8D y vuelo 4026. Favor de revisar mi correo. Gracias.",4/12/23 16:59,,,,,,,,,,,,,,,1s,,643729c92ae9c02f8e486ae4,,https://u4w-screenshots-production.s3.amazonaws.com/643729c92ae9c02f8e486ae4/screenshot,general,Comentario general,undefined,search_info,yes,,,,,,,,,,,,,
