Date,nps,_C_mo_podemos_mejorar_
3/1/23 3:34,6,No hay claridad en la pagina. Las opciones están muy revuletas y en desorden. No es fácil
3/1/23 2:18,1,no cobrando doblemente la seleccion de asientos al cambiar de itinerario
2/28/23 23:50,6,NO ES CLARO.
2/28/23 23:32,7,SON DEMASIADOS CARGOS ADICIONALES
2/28/23 20:44,0,"El equipaje de la tarifa smart ya estaba pagado, y al hacer el cambio de nombre ademas de ese cargo vuelven a cobrar el equipaje, eso es robo"
2/28/23 20:40,8,no agregando las cosas automáticamente y eliminando el costo por selección de asiento
2/28/23 19:48,8,Es importante que cuando ya se pagaron ciertos servicios con anterioridad sea claro que los mismos servicios se trasladan a la nueva reservacion.
2/28/23 19:38,0,como no puedo cambiar porque me rquivoque en una letra el nombre y es muy caro el error
2/28/23 19:34,8,NADIE ES PERFECTO
2/28/23 19:19,1,Ya tenia un asiento asignado y tramposamente lo cambian para que tenga uno que pagar
2/28/23 16:30,0,"No puede ser posible que un cambio de vuelos cueste carísimo y por llamada más, en verdad no puede ser, no recomiendo nada esta aerolínea"
2/28/23 15:16,0,"no estoy contenta hacen los cambio si avisar, y despues cobranla peor aerolina que he viajadoesto me respeten mis horarios"
2/28/23 15:14,6,No option to see the site in English
2/28/23 2:37,0,NO SE ENTIENDE
2/28/23 1:15,5,Los costos no son claros
2/28/23 1:12,1,Todo
2/28/23 0:47,8,Hay problemas al seleccionar los asientos
2/27/23 23:56,6,MUY CARO ASIENTO
2/27/23 23:29,8,mas claros en su informacion
2/27/23 23:28,8,mas información sobre temas de equipaje. tipos de equipaje no permitidos etc...
2/27/23 22:24,0,Politica de cancelación
2/27/23 22:24,8,No exagerando el costo de los cambios realizados
2/27/23 20:52,0,NO ME RESPETARON EL CAMBIO Y ME HICIERON EL COBRO TOTAL
2/27/23 19:55,6,te dice que no hay cobro por camnio y al final si te cobran
2/27/23 19:44,0,Me confundí y pagué más por que por alguna razón te preguntan que si el TUA lo quieres pagar después ¿Para qué lo pagaría después? Cobrenme todo junto y listo
2/27/23 19:29,8,"Que sean un poco mas claras las cosasNo supe como agregar 5 kg extras al equipaje de mano"
2/27/23 19:25,2,cobraron algo con bajo un concepto nada solido
2/27/23 19:22,2,"De acuerdo a la página, mi cambio de vuelo costaba $250. Sin ningún tipo de explicación al llegar al final esto subió a $600"
2/27/23 19:16,8,no grabo la direccion de alojamiento
2/27/23 18:56,0,"Pague con HSBC viva plus y al hacer cambio de itinerario me cobraron los asientos de cortesía, ¿Cómo puede ser posible sí son beneficios de la tarjeta?"
2/27/23 18:45,8,"NO SIENTO TAN GACHOS Y DEJANDO A LOS NIÑOS MENORES CON SUS PAPAS, COBRAN POR TODO"
2/27/23 18:43,4,La pagina marco error cada vez que quise quitar el asiento para continuar y confirmar mi cambio por lo que me forzó a pagar el asiento y en call center me querían cobrar mas de mil pesos por el cambio
2/27/23 17:55,0,manetener los precios que aparecen en la pagina
2/27/23 17:33,8,Tuve que intentar cuatro veces antes de poder realizar el pago.
2/27/23 17:09,5,"no me parece que aunque este haciendo cambio de vuelo me obliguen a pagar un asiento con valor adicional, o sea cobrar el cambio que en teoria era gratuito disfrazado del cobro del asiento. fuera de ese ""error"" lo demas esta muy bien"
2/27/23 15:57,8,no permite forma de pago y tarda mucho en responder
2/27/23 15:42,0,NADA
2/27/23 15:16,0,porqueria deservicio
2/27/23 4:29,8,problemas con la tarjeta
2/27/23 2:40,5,Terrible. Samuel Manzanares me atendio por telefono y mintio. NO SE VALE
2/27/23 0:01,6,No cambiando o precios entre las busquedas.
2/26/23 22:54,7,se traba mucho
2/26/23 17:10,2,"manteniendo los precios de cambio de vuelo , no levandolos"
2/26/23 14:36,0,"No se puede hacer cambio de nombre y fecha en la misma operación, nada amigable en ese sentido"
2/26/23 6:38,8,Poder cerrar la sesion de reserva sin tener que accesar con cuenta.
2/26/23 5:52,5,"la pagina siempre me agrega cosas sin mi consentimiento, en el call center me dan vueltas para quirtar los cargos adicionales, me dificultaron el check in en linea varias veces"
2/26/23 4:01,6,"La pagina falla mucho, es muy dificil hacer cambios en los vuelos"
2/26/23 2:38,8,si
2/26/23 2:36,8,Bien hecho
2/26/23 1:44,5,"La información no es clara, realicé un cambio de vuelo y parece que volví a pago por escoger asiento en el vuelo origina tenía Espacio+ y volvía a pagar otra vez por el mismo asiento en el nuevo vuelo."
2/26/23 0:42,6,"Compre el seguro de reembolso y cuando hable para que me reembosaran me solicitaba un diagnostico medico que en el momento no lo tenia , tarde mucho es un robo"
2/25/23 23:00,3,SS
2/25/23 21:56,5,pongan el precio completo
2/25/23 21:41,6,"No entiendo si no hay diferencia de tarifa aparente al final que es lo que se cobra, no aparece realmente el concepto"
2/25/23 18:37,6,Be more specific.
2/25/23 17:30,5,"al momeot de efectuar mi cambio me cotizo una diferencia de tarifa de 398.00mxn y al final pague 700.00mxn , porque cambio mucho la diferencia a pagar?"
2/25/23 17:14,8,ES COMPLICADA
2/25/23 14:50,2,DEJAR DE ROBARNOS TANTO CON DIS QUE PROMOCIONES DONDE UNO TERMINA PAGANDO MAS DE LO QUE NO ES
2/25/23 13:11,0,Include the TUA in the final cost cheapskates.
2/25/23 11:09,0,me forzó a pagar por el asiento
